Key,Reviewed By,Human Key,Year,Author,Title,Publication Title,DOI,lat_min,lat_max,lon_min,lon_max,Notes,Data Type,Type of Study,Category,Relevant,Description,Notes_sci,Notes of technical interest,Dataset Number,Type,Archive Location,Freely Available?,Archive Name,Acquisition Start Year,Acquisition End Year,Camera calib?,Flight Height [m],Height reference,GSD [m],Scale,Scanner resolution,Scanner resolution units,No. Images,Notes_data,Method,Software,Version,GCPs,Fiducial Marks,Pre-processing,Simplified Pre-processing Note,simplified geometric preprocessing,simplified radiometric preprocessing,Pre-processing Note,Workflow Note,Related paper,Residuals to CPs [m] avg,Ground control source XY,Ground control source Z,Ground control source group,Ground control accuracy [m] XY,Ground control accuracy [m] Z,Ground control accuracy [m] avg,No. GCPs,No. GCPs simplified,Residuals to GCPs [m] XY,Residuals to GCPs [m] Z,Residuals to GCPs [m] avg,No. CPs,Residuals to CPs [m] XY,Residuals to CPs [m] Z,Residuals to CPs [m] avg.1,Comparison data,Comparison data simplified,Comparison source group,Accuracy comparison data [m] XY,Accuracy comparison data [m] Z,Accuracy comparison [m] avg,Residuals to comparison [m] XY,Residuals to comparison [m] Z,Residuals to comparison [m] avg,comparison metric,Post-Processing,Notes_acc,Unnamed: 30,Unnamed: 31,Unnamed: 32,Output,Orthophoto resolution [m],DEM resolution [m],note
22B758P4,,"Smith et al. 2009, Earth Surface Processes and Landforms (22B758P4)",2009,Smith et al.,High spatial resolution data acquisition for the geosciences: kite aerial photography,Earth Surface Processes and Landforms,10.1002/esp.1702,,,,,,Aerial,Application,Methodology,no,uses a super low-tech UAV (kite) for image acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2AR5AVGG,Melanie,"Walstra et al. 2004, International Archives Of Photogrammetry, Remote Sensing And Spatial Information Sciences (2AR5AVGG)",2004,Walstra et al.,Time for change: quantifying landslide evolution using historical aerial photographs and modern photogrammetric methods,"International Archives Of Photogrammetry, Remote Sensing And Spatial Information Sciences",https://www.isprs.org/proceedings/xxxv/congress/comm4/papers/395.pdf,53.345,53.353,-1.821,-1.798,"Mam Tor area, Derbyshire, UK",Aerial,Application,Geomorphology,yes,Landslide evolution,Interesting step-by-step workflow description starting from historical image selection up to how to process (very scientific - nice!),,1.0,Aerial,UK,unclear,NMR (National Monuments Record),1953.0,1953.0,computed,6140.0,,0.5,1:12000,42.0,μm,2,scanned contact prints,Photogrammetric,"ERDAS Imagine: OrthoBASE Pro, GAP","8.6, NA",yes,no,no,,,,,"self calibrating bundle adjustment to determine IOP via GAP (J. Chandler), stereo reconstruction via ERDAS",,"Walstra et al. 2004, International Archives Of Photogrammetry, Remote Sensing And Spatial Information Sciences (2AR5AVGG)",dGPS,dGPS,point-based,0.01,0.01,0.01,,,3.9,3.9,3.9,,,,,,,,,,,,,,RMSE,,,,,,3D (point cloud/DEM),4.0,,
2AR5AVGG,Melanie,"Walstra et al. 2004, International Archives Of Photogrammetry, Remote Sensing And Spatial Information Sciences (2AR5AVGG)",2004,Walstra et al.,Time for change: quantifying landslide evolution using historical aerial photographs and modern photogrammetric methods,"International Archives Of Photogrammetry, Remote Sensing And Spatial Information Sciences",https://www.isprs.org/proceedings/xxxv/congress/comm4/papers/395.pdf,53.345,53.353,-1.821,-1.798,"Mam Tor area, Derbyshire, UK",Aerial,Application,Geomorphology,yes,Landslide evolution,Interesting step-by-step workflow description starting from historical image selection up to how to process (very scientific - nice!),,2.0,Aerial,UK,unclear,NMR (National Monuments Record),1971.0,1971.0,computed,2240.0,,0.31,1:7400,42.0,μm,2,scanned contact prints,Photogrammetric,"ERDAS Imagine: OrthoBASE Pro, GAP","8.6, NA",yes,no,no,,,,,"self calibrating bundle adjustment to determine IOP via GAP (J. Chandler), stereo reconstruction via ERDAS",,"Walstra et al. 2004, International Archives Of Photogrammetry, Remote Sensing And Spatial Information Sciences (2AR5AVGG)",dGPS,dGPS,point-based,0.01,0.01,0.01,,,1.31,1.31,1.31,,,,,,,,,,,,,,RMSE,,,,,,3D (point cloud/DEM),2.0,,
2AR5AVGG,Melanie,"Walstra et al. 2004, International Archives Of Photogrammetry, Remote Sensing And Spatial Information Sciences (2AR5AVGG)",2004,Walstra et al.,Time for change: quantifying landslide evolution using historical aerial photographs and modern photogrammetric methods,"International Archives Of Photogrammetry, Remote Sensing And Spatial Information Sciences",https://www.isprs.org/proceedings/xxxv/congress/comm4/papers/395.pdf,53.345,53.353,-1.821,-1.798,"Mam Tor area, Derbyshire, UK",Aerial,Application,Geomorphology,yes,Landslide evolution,Interesting step-by-step workflow description starting from historical image selection up to how to process (very scientific - nice!),,3.0,Aerial,UK,unclear,Cambridge University Collection of Air Photos (CUCAP),1973.0,1973.0,computed,950.0,,0.06,1:4000,15.0,μm,2,scanned diapositives,Photogrammetric,"ERDAS Imagine: OrthoBASE Pro, GAP","8.6, NA",yes,no,no,,,,,"self calibrating bundle adjustment to determine IOP via GAP (J. Chandler), stereo reconstruction via ERDAS",,"Walstra et al. 2004, International Archives Of Photogrammetry, Remote Sensing And Spatial Information Sciences (2AR5AVGG)",dGPS,dGPS,point-based,0.01,0.01,0.01,,,1.04,1.04,1.04,,,,,,,,,,,,,,RMSE,,,,,,3D (point cloud/DEM),0.76,,
2AR5AVGG,Melanie,"Walstra et al. 2004, International Archives Of Photogrammetry, Remote Sensing And Spatial Information Sciences (2AR5AVGG)",2004,Walstra et al.,Time for change: quantifying landslide evolution using historical aerial photographs and modern photogrammetric methods,"International Archives Of Photogrammetry, Remote Sensing And Spatial Information Sciences",https://www.isprs.org/proceedings/xxxv/congress/comm4/papers/395.pdf,53.345,53.353,-1.821,-1.798,"Mam Tor area, Derbyshire, UK",Aerial,Application,Geomorphology,yes,Landslide evolution,Interesting step-by-step workflow description starting from historical image selection up to how to process (very scientific - nice!),,4.0,Aerial,UK,unclear,Cambridge University Collection of Air Photos (CUCAP),1990.0,1990.0,computed,2120.0,,0.18,1:12000,15.0,μm,2,scanned diapositives,Photogrammetric,"ERDAS Imagine: OrthoBASE Pro, GAP","8.6, NA",yes,no,no,,,,,"self calibrating bundle adjustment to determine IOP via GAP (J. Chandler), stereo reconstruction via ERDAS",,"Walstra et al. 2004, International Archives Of Photogrammetry, Remote Sensing And Spatial Information Sciences (2AR5AVGG)",dGPS,dGPS,point-based,0.01,0.01,0.01,,,0.54,0.54,0.54,,,,,,,,,,,,,,RMSE,,,,,,3D (point cloud/DEM),2.0,,
2ARJBDQ8,Melanie,"Wilson et al. 2016, The Historic Environment: Policy & Practice (2ARJBDQ8)",2016,Wilson et al.,"Historical records, archives and photogrammetry",The Historic Environment: Policy & Practice,10.1080/17567505.2016.1142696,51.4141,51.418,-1.86,-1.85337,"diverse locations in UK, cooridnate Silbury Hill, artificial pre-historic earth mound in Wiltshire, UK",Aerial,Application,Archeology,yes,"Terrestrial images, 3D reconstructions of lost heritage assets",Interesting summary of different archive types in UK,,1.0,Aerial,UK,yes,Britain From Above (BFA),1946.0,1953.0,computed,,,,,,,14,"Silbury Hill, Avebury (England), 14 imgs (1946, 1947, 1951, 1953), four 1951er imgs are used for stereo processing; low-res imgs are free, high-res need to be paid",SfM+MVS,Agisoft Photoscan,,no,no,no,,,,,,,"Wilson et al. 2016, The Historic Environment: Policy & Practice (2ARJBDQ8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3D (point cloud/DEM),,,"looks like scale-less reconstruction via SFM (simply put imgs in Photoscan and click on ""run"")"
2ARJBDQ8,Melanie,"Wilson et al. 2016, The Historic Environment: Policy & Practice (2ARJBDQ8)",2016,Wilson et al.,"Historical records, archives and photogrammetry",The Historic Environment: Policy & Practice,10.1080/17567505.2016.1142696,51.4141,51.418,-1.86,-1.85337,"diverse locations in UK, cooridnate Silbury Hill, artificial pre-historic earth mound in Wiltshire, UK",Aerial,Application,Archeology,yes,"Terrestrial images, 3D reconstructions of lost heritage assets",Interesting summary of different archive types in UK,,2.0,Terrestrial,UK,yes,Coflein (online digital archive provided by the Royal Commission on the Ancient and Historical Monuments of Wales (RCAHMW)),1949.0,1949.0,computed,,,,,,,4,"St Lythan’s Burial Chamber, mix of digital imgs and 4 archival terrestrial images",SfM+MVS,Agisoft Photoscan,,no,no,no,,,,,,,"Wilson et al. 2016, The Historic Environment: Policy & Practice (2ARJBDQ8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3D (point cloud/DEM),,,"looks like scale-less reconstruction via SFM (simply put imgs in Photoscan and click on ""run"")"
2ARJBDQ8,Melanie,"Wilson et al. 2016, The Historic Environment: Policy & Practice (2ARJBDQ8)",2016,Wilson et al.,"Historical records, archives and photogrammetry",The Historic Environment: Policy & Practice,10.1080/17567505.2016.1142696,51.4141,51.418,-1.86,-1.85337,"diverse locations in UK, cooridnate Silbury Hill, artificial pre-historic earth mound in Wiltshire, UK",Aerial,Application,Archeology,yes,"Terrestrial images, 3D reconstructions of lost heritage assets",Interesting summary of different archive types in UK,,3.0,Terrestrial,UK,yes,Coflein (online digital archive provided by the Royal Commission on the Ancient and Historical Monuments of Wales (RCAHMW)),1954.0,1954.0,computed,,,,,,,7,"Beaumaris Castle Ticket Office, Isle of Anglesey in North Wales",SfM+MVS,Agisoft Photoscan,,no,no,no,,,,,,,"Wilson et al. 2016, The Historic Environment: Policy & Practice (2ARJBDQ8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3D (point cloud/DEM),,,"looks like scale-less reconstruction via SFM (simply put imgs in Photoscan and click on ""run"")"
2ARJBDQ8,Melanie,"Wilson et al. 2016, The Historic Environment: Policy & Practice (2ARJBDQ8)",2016,Wilson et al.,"Historical records, archives and photogrammetry",The Historic Environment: Policy & Practice,10.1080/17567505.2016.1142696,51.4141,51.418,-1.86,-1.85337,"diverse locations in UK, cooridnate Silbury Hill, artificial pre-historic earth mound in Wiltshire, UK",Aerial,Application,Archeology,yes,"Terrestrial images, 3D reconstructions of lost heritage assets",Interesting summary of different archive types in UK,,4.0,Aerial,UK,yes,Coflein (online digital archive provided by the Royal Commission on the Ancient and Historical Monuments of Wales (RCAHMW)),2006.0,2006.0,computed,,,,,,,10,"Afon Ystwyth valley (Wales), six low-res imgs used for stereo processing, low-res are free, high-res need to be paid",Time-SIFT,Agisoft Photoscan,,no,no,no,,,,,,,"Wilson et al. 2016, The Historic Environment: Policy & Practice (2ARJBDQ8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3D (point cloud/DEM),,,"looks like scale-less reconstruction via SFM (simply put imgs in Photoscan and click on ""run"")"
2DJYIF82,Bob,"Fox and Cziferszky 2008, The Photogrammetric Record (2DJYIF82)",2008,Fox and Cziferszky,Unlocking the time capsule of historic aerial photography to measure changes in Antarctic Peninsula glaciers,The Photogrammetric Record,10.1111/j.1477-9730.2008.00463.x,-67.718758,-67.70338,-67.678583,-67.476548,"Moider Glacier and Pourquoi Pas Island, Antarctica",Aerial,Both,Glaciology,yes,Antarctic Peninsula: 30.000 hist aerial imgs back to 1940: use for glacier height reconstruction over 60y period,,,1.0,Aerial,UK,unclear,British Antarctic Survey,1947.0,1947.0,partial,,,0.4,1:20000,20.0,μm,4,,Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,,yes,no,not specified,,,,,,,"Fox and Cziferszky 2008, The Photogrammetric Record (2DJYIF82)",dGPS,dGPS,point-based,,,,13,13,1.25,1.8,1.43,,,,,,,,,,,,,,RMSE,,Residuals to GCPS (X/Y):,"1.0, 1.5",,,3D (point cloud/DEM),,,resolution not reported
